author;n;primary_subject
L. Margerin;1;Geophysics
A. Berezhetskyy;1;Biological Physics
Nicolas Dobigeon;2;Data Analysis, Statistics and Probability
Alfred O. Hero;2;Data Analysis, Statistics and Probability
Jean-Yves Tourneret;2;Data Analysis, Statistics and Probability
Yu.A.Matulenko;1;Instrumentation and Detectors
O.P.Yushchenko;1;Instrumentation and Detectors
Yu.I.Arestov;1;Instrumentation and Detectors
G.I.Britvich;1;Instrumentation and Detectors
S.K.Chernichenko;1;Instrumentation and Detectors
Yu.M.Goncharenko;1;Instrumentation and Detectors
V.A.Kormilitsyn;1;Instrumentation and Detectors
Yu.M.Melnik;1;Instrumentation and Detectors
I.V.Shein;1;Instrumentation and Detectors
A.P.Soldatov;1;Instrumentation and Detectors
A.V.Soukhikh;1;Instrumentation and Detectors
M.N.Ukhanov;1;Instrumentation and Detectors
V.G.Vasilchenko;1;Instrumentation and Detectors
R. P. J. Perazzo;1;Physics and Society
Jesper Goor Pedersen;1;Optics
Yves Aurégan;1;Classical Physics
Maud Leroux;1;Classical Physics
M.A.G. Soares;1;Biological Physics
F.A.O. Cruz;1;Biological Physics
C.M. Cortez;1;Biological Physics
R. Chabreyrie;1;Fluid Dynamics
D. Vainchtein;1;Fluid Dynamics
P. Singh;1;Fluid Dynamics
N. Aubry;1;Fluid Dynamics
Richard S. Lindzen;1;Physics and Society
C. Bourassin-Bouchet;1;Optics
M. Lours;4;Optics
A.M. Ardekani;1;Fluid Dynamics
R.H. Rangel;1;Fluid Dynamics
E. Calzetta;1;Biological Physics
Artem B. Mamonov;4;Biological Physics
Divesh Bhatt;4;Biological Physics
Derek J. Cashman;2;Biological Physics
Ian C. Jacobi;1;Physics Education
Heidi Jo Newberg;1;Physics Education
Darren Broder;1;Physics Education
Rose A. Finn;1;Physics Education
Anthony J. Milano;1;Physics Education
Lee A. Newberg;1;Physics Education
Allan T. Weatherwax;1;Physics Education
Douglas C. B. Whittet;1;Physics Education
D. N. Brown;1;Instrumentation and Detectors
A. V. Gritsan;1;Instrumentation and Detectors
Z. J. Guo;1;Instrumentation and Detectors
D. Roberts;1;Instrumentation and Detectors
Naoum C. Bacalis;1;Chemical Physics
Yi Jin;5;Optics
K. H. Jensen;1;Optics
M. N. Alam;1;Optics
B. Scherer;1;Optics
A. Lambrecht;1;Optics
P.S. Nunes;1;Optics
J.P. Kutter;1;Optics
K.B. Mogensen;1;Optics
A.K. Nandi;1;Physics and Society
S.S. Manna;1;Physics and Society
D. R. Ernst;1;Plasma Physics
Malcolm Fairbairn;1;Popular Physics
Bob McElrath;1;Popular Physics
Gerrit Danker;1;Biological Physics
Petia Vlahovska;2;Biological Physics
Chaouqi Misbah;1;Biological Physics
Alexander R. Small;1;Optics
Michael Ting;1;Data Analysis, Statistics and Probability
Raviv Raich;1;Data Analysis, Statistics and Probability
Alfred O. Hero III;1;Data Analysis, Statistics and Probability
Stuart J. Williams;1;Fluid Dynamics
Aloke Kumar;2;Fluid Dynamics
Steven T. Wereley;2;Fluid Dynamics
I. A. Sulai;1;Atomic Physics
Qixue Wu;1;Atomic Physics
M. Bishof;1;Atomic Physics
R. Santra;1;Atomic Physics
K. Volyanskiy;1;Optics
Y. K. Chembo;1;Optics
L. Larger;1;Optics
E. Rubiola;2;No primary subject
Igor A. Tanski;1;Fluid Dynamics
J. Bellessa;1;Optics
C. Symonds;1;Optics
C. Meynaud;1;Optics
J.C. Plenet;1;Optics
E. Cambril;1;Optics
A. Miard;1;Optics
L. Ferlazzo;1;Optics
A. Lemaitre;1;Optics
Karim Zbiri;1;Instrumentation and Detectors
L.E. Sinclair;1;Instrumentation and Detectors
D.S. Hanna;1;Instrumentation and Detectors
A.M.L. MacLeod;1;Instrumentation and Detectors
P.R.B. Saull;1;Instrumentation and Detectors
Archil Ugulava;1;Optics
Levan Chotorlishvili;1;Optics
V. Alonso Chavez;1;Biological Physics
O. Kamps;1;Fluid Dynamics
José Manuel Gordillo;1;Fluid Dynamics
Raz Alon;1;Instrumentation and Detectors
Marco Cortesi;1;Instrumentation and Detectors
Chin J. Leo;1;Classical Physics
Jean-Michel Pereira;2;Classical Physics
Philippe Dubujet;1;Classical Physics
J. Hosaka;1;Instrumentation and Detectors
T. Namba;2;No primary subject
Y. Urakawa;1;Instrumentation and Detectors
M. Uchino;1;Instrumentation and Detectors
Y. Kamioka;1;Instrumentation and Detectors
T. Teitelbaum;3;Fluid Dynamics
P. Balenzuela;1;Physics and Society
P. Cano;1;Physics and Society
J. M. Buldu;1;Physics and Society
Loïc Markley;1;Optics
Mitrovic Marija;1;Physics and Society
P. Vavassori;2;No primary subject
V. Metlushko;2;No primary subject
M. Gobbi;2;No primary subject
M. Donolato;2;No primary subject
M. Cantoni;2;No primary subject
R. Bertacco;2;No primary subject
Loet Leydesdorff;88;Physics and Society
Thomas Schank;2;Physics and Society
Wouter De Nooy;1;Physics and Society
J. M. Brown;1;Atomic Physics
Jie Sun;2;No primary subject
Erik M. Bollt;1;Data Analysis, Statistics and Probability
Joesph D. Skufca;1;Data Analysis, Statistics and Probability
R. H. Rubin;1;Atomic Physics
M. Rodríguez;1;Atomic Physics
R. M. Wilson;1;Atomic Physics
S. Ronen;1;Atomic Physics
Martin J. Pattison;3;Computational Physics
Sanjoy Banerjee;3;Computational Physics
Pei-Lin You;7;Atomic Physics
Xiang-You Huang;4;Atomic Physics
P. Bohn;1;Instrumentation and Detectors
A. Clough;1;Instrumentation and Detectors
A. Heering;1;Instrumentation and Detectors
J. Rohlf;1;Instrumentation and Detectors
J. Freeman;1;Instrumentation and Detectors
S. Los;1;Instrumentation and Detectors
E. Cascio;1;Instrumentation and Detectors
Alan D. Bross;1;Accelerator Physics
Daniel M. kaplan;1;Accelerator Physics
Terrence L. Hart;1;Accelerator Physics
Ankit Singh;1;Classical Physics
Devang Jain;1;Classical Physics
Kaustubh Kulkarni;1;Classical Physics
Abhishek Budhraja;1;Classical Physics
K. R. Sai Tej;1;Classical Physics
Satish Sankarlingam;1;Classical Physics
Anatoly D. Gladun;1;Optics
Vladimir G. Leiman;1;Optics
Aleksey V. Arsenin;1;Optics
Hidetoshi Morita;2;No primary subject
Armelle Chabot;1;Classical Physics
Alain Ehrlacher;1;Classical Physics
Samuel Arbesman;3;Physics and Society
Jon M. Kleinberg;2;No primary subject
Steven H. Strogatz;3;Physics and Society
V Pierro;1;Accelerator Physics
M.R. Masullo;1;Accelerator Physics
Hiroya Suno;1;Atomic Physics
T. Legero;1;Optics
J. S. R. Vellore Winfred;1;Optics
G. Chadzitaskos;1;Optics
Michael Carley;2;No primary subject
Helmut Rathgen;1;Optics
H. L. Offerhaus;1;Optics
Vincent Lariviere;5;Physics and Society
Eric Archambault;1;Physics and Society
Tomislav Ivezić;1;General Physics
Roman Shcherbakov;1;Astrophysics
Gerald Guralnik;1;Chaotic Dynamics
Cengiz Pehlevan;1;Chaotic Dynamics
Z. Y. Xie;1;Strongly Correlated Electrons
Q. N. Chen;1;Strongly Correlated Electrons
Scott Tremaine;1;Astrophysics
Jihad Touma;1;Astrophysics
Fathi Namouni;1;Astrophysics
Maria Elena De Giuli;1;Risk Management
Danilo Delpini;1;Risk Management
Claudia Tarantola;1;Risk Management
A.G.Ramm;2;Materials Science
R-P. Kudritzki;1;Astrophysics
Y.G. Shckorbatov;1;Molecular Networks
V.N. Pasiuga;1;Molecular Networks
V.A. Grabina;1;Molecular Networks
N.N. Kolchigin;1;Molecular Networks
D.O. Batrakov;1;Molecular Networks
V.V. Kalashnikov;1;Molecular Networks
D.D. Ivanchenko;1;Molecular Networks
V.N.Bykov;1;Molecular Networks
Krzysztof Zbigniew Stanek;1;Astrophysics
Estrella A. Sicardi;1;Populations and Evolution
R. J. Ballagh;1;Statistical Mechanics
David M. Rogers;3;Soft Condensed Matter
M. S. Tame;1;Quantum Physics
C. Lee;1;Quantum Physics
J. Lee;2;No primary subject
M. Paternostro;1;Quantum Physics
M. S. Kim;1;Quantum Physics
Felipe A. Cruz;1;Data Structures and Algorithms
L. A. Barba;1;Data Structures and Algorithms
M. Andrecut;3;Quantitative Methods
Rong-Hua Wang;1;Populations and Evolution
Zhen Jin;1;Populations and Evolution
Walter A. Simmons;1;Mathematical Physics
Joel L. Weiner;1;Mathematical Physics
Jonathan B. Goodman;1;Numerical Analysis
Kevin K. Lin;1;Numerical Analysis
T. Sousbie;1;Astrophysics
S. Colombi;1;Astrophysics
C. Pichon;1;Astrophysics
L.D. Shvartsman;1;Other Condensed Matter
B. Laikhtman;1;Other Condensed Matter
David Garfinkle;1;General Relativity and Quantum Cosmology
Salvador Gil;1;General Relativity and Quantum Cosmology
J. Verdu;1;Mesoscale and Nanoscale Physics
H. Zoubi;1;Mesoscale and Nanoscale Physics
Ch. Koller;2;No primary subject
J. Majer;1;Mesoscale and Nanoscale Physics
H. Ritsch;1;Mesoscale and Nanoscale Physics
B. Christophe;1;General Relativity and Quantum Cosmology
P. Berio;1;General Relativity and Quantum Cosmology
J-M. Courty;1;General Relativity and Quantum Cosmology
S. Reynaud;1;General Relativity and Quantum Cosmology
Valeria Molinero;1;Soft Condensed Matter
Emily B. Moore;1;Soft Condensed Matter
Morris R. Flynn;2;No primary subject
Aslan R. Kasimov;2;No primary subject
Jean-Christophe Nave;2;No primary subject
Rodolfo R. Rosales;2;No primary subject
J.E. Horvath;1;General Relativity and Quantum Cosmology
Jocelyn M. Rodgers;1;Statistical Mechanics
Heikki Mannila;1;Artificial Intelligence
Evimaria Terzi;1;Artificial Intelligence
Daniel M. Romero;3;Computers and Society
Mradul Sharma;1;Astrophysics
M. Gellert;1;Astrophysics
G. Rüdiger;1;Astrophysics
Sommayeh Belbaasi;1;Cellular Automata and Lattice Gases
George Miloshevich;1;Pattern Formation and Solitons
G.Pizzella;1;Astrophysics
T.Banks;1;Quantum Physics
Karol Wawrzyniak;1;Trading and Market Microstructure
Wojciech Wislicki;1;Trading and Market Microstructure
Darryn J. Reid;1;Adaptation and Self-Organizing Systems
Sahand Jamal Rahi;1;Biomolecules
O.V. Kibis;1;Quantum Physics
G.Ya. Slepyan;1;Quantum Physics
S.A. Maksimenko;1;Quantum Physics
A. Hoffmann;1;Quantum Physics
Naomi Oppenheimer;1;Soft Condensed Matter
G. Cantatore;1;High Energy Physics - Experiment
R. Cimino;1;High Energy Physics - Experiment
M. Karuza;1;High Energy Physics - Experiment
V. Lozza;1;High Energy Physics - Experiment
G. Raiteri;1;High Energy Physics - Experiment
Peter S. Cooper;1;Astrophysics
Nicolas Crouzet;1;Astrophysics
Tristan Guillot;1;Astrophysics
Francois Fressin;1;Astrophysics
Alain Blazit;1;Astrophysics
Junjun Liu;1;Astrophysics
Thomas Wellens;2;No primary subject
J.A. Peacock;1;Astrophysics
J. I. Perotti;1;Disordered Systems and Neural Networks
O. V. Billoni;1;Disordered Systems and Neural Networks
F. A. Tamarit;1;Disordered Systems and Neural Networks
S. A. Cannas;1;Disordered Systems and Neural Networks
Jürgen Appel;1;Quantum Physics
Andrew MacRae;1;Quantum Physics
C.A.L. Bailer-Jones;2;No primary subject
K.W. Smith;1;Astrophysics
C. Tiede;1;Astrophysics
R. Sordo;1;Astrophysics
A. Vallenari;1;Astrophysics
Sebastien Sauge;1;Quantum Physics
Lars Lydersen;1;Quantum Physics
Andrey Anisimov;1;Quantum Physics
Vadim Makarov;1;Quantum Physics
Fabrice Petit;1;High Energy Physics - Phenomenology
Sukosin Thongrattanasiri;2;Optics
I. Bove;1;Fluid Dynamics
D. Freire;1;Fluid Dynamics
L.G. Sarasua;1;Fluid Dynamics
G. Usera;1;Fluid Dynamics
R. Montagne;1;Fluid Dynamics
M. Araujo;1;Fluid Dynamics
Alvaro G. Marin;1;Fluid Dynamics
Guillaume Riboux;1;Fluid Dynamics
Ignacio G. Loscertales;1;Fluid Dynamics
Antonio Barrero;1;Fluid Dynamics
Robert Moszynski;1;Atomic Physics
Cecilia Cabeza;1;Fluid Dynamics
Sylvana Varela;1;Fluid Dynamics
Gabriel Usera;1;Fluid Dynamics
Anton Vernet;1;Fluid Dynamics
Wen Zhang;1;Computational Physics
Stephan Haas;1;Computational Physics
Paolo Christillin;1;Optics
Michael Doebeli;1;Physics and Society
R. Gonzalez-Ferez;1;Atomic Physics
M. Mayle;2;Atomic Physics
P. Sanchez-Moreno;1;Atomic Physics
V.S. Mikhailenko;2;Plasma Physics
V.V. Mikhailenko;2;Plasma Physics
K.N. Stepanov;2;Plasma Physics
N.A. Azarenkov;1;Plasma Physics
Janusz Szwabiński;1;Physics and Society
D.J.A. Cockerill;1;Instrumentation and Detectors
Jānis Priede;4;Fluid Dynamics
Alexander Nass;1;Atomic Physics
Erhard Steffens;1;Atomic Physics
A. Petrignani;2;Atomic Physics
M. H. Berg;1;Atomic Physics
D. Bing;1;Atomic Physics
M. Froese;2;Atomic Physics
B. Jordon-Thaden;2;Atomic Physics
M. B. Mendes;1;Atomic Physics
O. Novotný;2;Atomic Physics
S. Novotny;2;Atomic Physics
S. Reinhardt;1;Atomic Physics
A.V. Gorelik;2;Optics
H. Rubinstein;1;Atomic Physics
M.B. Mendes;1;Atomic Physics
D.A. Orlov;1;Atomic Physics
M.H. Berg;1;Atomic Physics
A.S. Jaroshevich;1;Atomic Physics
M. Lange;1;Atomic Physics
I.F. Schneider;1;Atomic Physics
D. Shafir;1;Atomic Physics
F.O. Waffeu Tamo;1;Atomic Physics
Namik Guseyn-zade;1;Physics and Society
Maminirina Joelson;1;Atmospheric and Oceanic Physics
Marie Christine Neel;1;Atmospheric and Oceanic Physics
O. V. Khabarova;1;Space Physics
S. Dimitrova;1;Space Physics
Srikanta Sinha;1;Instrumentation and Detectors
Harald Atmanspacher;1;Data Analysis, Statistics and Probability
Jiri Wackermann;1;Data Analysis, Statistics and Probability
Toshiyuki Tanaka;1;Computational Physics
G.M. Onyshchenko;1;Instrumentation and Detectors
C. Smith;2;Instrumentation and Detectors
Yanxia Cui;2;Optics
Stephan Mertens;2;No primary subject
Sebastian Mingramm;1;Classical Physics
Antonio Brotas;1;History and Philosophy of Physics
Yisheng Ma;1;Atomic Physics
T.J.M. Boyd;1;Plasma Physics
R. Ondarza-Rovira;1;Plasma Physics
Sergei K. Godunov;1;Computational Physics
I. V. Grossu;2;Computational Physics
C. Besliu;2;Computational Physics
Al. Jipa;2;Computational Physics
D. Felea;2;Computational Physics
C. C. Bordeianu;2;Computational Physics
E.Stan;1;Computational Physics
T. Esanu;2;Computational Physics
Alan D. Bristow;1;Optics
Denis Karaiskaj;1;Optics
Xingcan Dai;1;Optics
Steven T. Cundiff;1;Optics
Wilfredo L. Maldonado;1;Physics and Society
B. Liu;1;Computational Physics
X. Qiu;1;Computational Physics
M. J. Hole;4;Plasma Physics
M. McGann;2;Plasma Physics
R. Mills;3;Plasma Physics
S. R. Hudson;2;Plasma Physics
F. Chevallier;1;Instrumentation and Detectors
John K. Stockton;1;Data Analysis, Statistics and Probability
Ari K. Tuchman;1;Data Analysis, Statistics and Probability
Yen-Wei Lin;2;Optics
Hung-Chih Chou;2;Optics
Thorsten Peters;3;Optics
Wen-Te Liao;2;Optics
Hung-Wen Cho;1;Optics
Pei-Chen Guan;1;Optics
Fernando Ballesteros;1;Data Analysis, Statistics and Probability
Jordi Luque;2;Data Analysis, Statistics and Probability
Juan Carlos Nuno;2;Data Analysis, Statistics and Probability
Jacques Dufour;1;Atomic Physics
Xavier Dufour;1;Atomic Physics
Denis Murat;1;Atomic Physics
Jacques Foos;1;Atomic Physics
A. Baron;1;Optics
A. Ryasnyanskiy;1;Optics
N. Dubreuil;1;Optics
P. Delaye;1;Optics
Q. Vy Tran;1;Optics
S. Combrie;1;Optics
A. de Rossi;1;Optics
G. Roosen;1;Optics
Thibault Candela;1;Geophysics
Michel Bouchon;1;Geophysics
David Marsan;1;Geophysics
Minhee Lee;1;Fluid Dynamics
Adrian Sabin Popescu;1;General Physics
Alex Bladon;1;Physics and Society
Thomas Richardson;3;Data Analysis, Statistics and Probability
PANDA Collaboration;2;Instrumentation and Detectors
W. Erni;2;Instrumentation and Detectors
B. Krusche;2;Instrumentation and Detectors
M. Steinacher;2;Instrumentation and Detectors
Y. Heng;2;Instrumentation and Detectors
Z. Liu;2;Instrumentation and Detectors
X. Shen;2;Instrumentation and Detectors
O. Wang;2;Instrumentation and Detectors
F. Feldbauer;2;Instrumentation and Detectors
F.-H. Heinsius;2;Instrumentation and Detectors
T. Held;2;Instrumentation and Detectors
H. Koch;2;Instrumentation and Detectors
B. Kopf;2;Instrumentation and Detectors
M. Pelizaeus;2;Instrumentation and Detectors
T. Schroeder;2;Instrumentation and Detectors
M. Steinke;2;Instrumentation and Detectors
J. Zhong;2;Instrumentation and Detectors
A. Bianconi;3;Instrumentation and Detectors
M. Bragadireanu;2;Instrumentation and Detectors
D. Pantea;2;Instrumentation and Detectors
A. Tudorache;2;Instrumentation and Detectors
V. Tudorache;2;Instrumentation and Detectors
M. De Napoli;2;Instrumentation and Detectors
F. Giacoppo;2;Instrumentation and Detectors
G. Raciti;2;Instrumentation and Detectors
E. Rapisarda;2;Instrumentation and Detectors
C. Sfienti;2;Instrumentation and Detectors
E. Bialkowski;2;Instrumentation and Detectors
A. Budzanowski;2;Instrumentation and Detectors
B. Czech;2;Instrumentation and Detectors
M. Kistryn;2;Instrumentation and Detectors
A. Kozela;2;Instrumentation and Detectors
P. Kulessa;2;Instrumentation and Detectors
K. Pysz;2;Instrumentation and Detectors
W. Schaefer;2;Instrumentation and Detectors
A. Szczurek;2;Instrumentation and Detectors
W. Czy.zycki;2;Instrumentation and Detectors
M. Domagala;2;Instrumentation and Detectors
M. Hawryluk;2;Instrumentation and Detectors
E. Lisowski;2;Instrumentation and Detectors
F. Lisowski;2;Instrumentation and Detectors
L. Wojnar;2;Instrumentation and Detectors
D. Gil;2;Instrumentation and Detectors
R. Esteban;1;Optics
M. Laroche;1;Optics
Astero Provata;1;Biological Physics
Igor M. Sokolov;1;Biological Physics
Chansoo Kim;1;Biological Physics
Juscelino B. Leao;1;Biological Physics
Ivan Junier;3;Biological Physics
Felix Ritort;6;No primary subject
Ernst-Jan Buis;1;Data Analysis, Statistics and Probability
Giuseppe Vacanti;1;Data Analysis, Statistics and Probability
Shinji Koide;1;Plasma Physics
J. L. Cieslinski;1;Computational Physics
B. Ratkiewicz;1;Computational Physics
Shu-Min Li;1;Atomic and Molecular Clusters
Vincent Larivière;1;Physics and Society
G. Augello;1;Biological Physics
S. Spezia;1;Biological Physics
L. Curcio;1;Biological Physics
N. Pizzolato;1;Biological Physics
P. Lo Bue;1;Biological Physics
E. Peri;1;Biological Physics
S. Colazza;1;Biological Physics
Enrique Soto;4;Fluid Dynamics
Oscar R. Enríquez;1;Fluid Dynamics
Roberto Zenit;4;Fluid Dynamics
Octavio Manero;1;Fluid Dynamics
Hyojune Lee;1;Optics
Shantha Vedantam;1;Optics
Japeck Tang;1;Optics
Matteo Staffaroni;1;Optics
Zheng Ran;3;Computational Physics
Yupeng Xu;2;Computational Physics
Simon Molesin;1;Fluid Dynamics
James C. Bird;1;Fluid Dynamics
Alexander Piel;3;Plasma Physics
H. Gorke;1;Atomic Physics
T. Ishiwatari;1;Atomic Physics
E.-O. LeBigot;1;Atomic Physics
M. Nekipelov;1;Atomic Physics
Ph. Schmid;1;Atomic Physics
Lukas Jelinek;3;Medical Physics
Silvia Gentilini;1;Optics
Romain Vasseur;1;Fluid Dynamics
Pedro M. Reis;1;Fluid Dynamics
S.R. Osipi;1;Classical Physics
D A Diver;1;Plasma Physics
L F A Teodoro;1;Plasma Physics
C S MacLachlan;1;Plasma Physics
H E Potts;1;Plasma Physics
Amos G. Winter;1;Fluid Dynamics
V Anette E. Hosoi;1;Fluid Dynamics
Federico Hernandez-Sanchez;1;Fluid Dynamics
Rene Ledesma;1;Fluid Dynamics
Thierry Désoyer;1;Classical Physics
Jean-Hugh Thomas;1;Classical Physics
Vincent Grulier;1;Classical Physics
Sébastien Paillasseur;1;Classical Physics
Tadd T. Truscott;2;Fluid Dynamics
Jeffrey M. Aristoff;1;Fluid Dynamics
Alexandra H. Techet;2;Fluid Dynamics
P. Koonath;1;Optics
A. Seyfried;2;Physics and Society
M. Boltes;1;Physics and Society
J. Kähler;1;Physics and Society
W. Klingsch;1;Physics and Society
A. Portz;1;Physics and Society
T. Rupprecht;1;Physics and Society
A. Winkens;1;Physics and Society
Roderick R. La Foy;1;Fluid Dynamics
Mark R. Dennis;3;Optics
Antonino Ferrante;2;Fluid Dynamics
Carlos Pantano-Rubino;1;Fluid Dynamics
Georgios Matheou;2;Fluid Dynamics
Paul E. Dimotakis;2;Fluid Dynamics
Mike Stephens;3;Fluid Dynamics
Paul Adams;3;Fluid Dynamics
Richard Walters;2;Fluid Dynamics
Randall Hand;1;Fluid Dynamics
Daegyoum Kim;1;Fluid Dynamics
Morteza Gharib;1;Fluid Dynamics
Bin W. Zhang;3;Biological Physics
Roberto Camassa;1;Fluid Dynamics
Bong Jae Chung;1;Fluid Dynamics
Greg Gipson;1;Fluid Dynamics
Richard M. McLaughlin;1;Fluid Dynamics
Ashwin Vaidya;1;Fluid Dynamics
Amir H.G. Isfahani;1;Fluid Dynamics
Jonathan B. Freund;1;Fluid Dynamics
Laura Miller;1;Fluid Dynamics
Gregory Herschlag;1;Fluid Dynamics
Arvind Santhanakrishnan;1;Fluid Dynamics
Carlos L. Perez;1;Fluid Dynamics
Jonathan D. Posner;1;Fluid Dynamics
Florent Pignatel;1;Fluid Dynamics
Maxime Nicolas;1;Fluid Dynamics
David Saintillan;2;Fluid Dynamics
Donghyung Lee;1;Atomic and Molecular Clusters
Lucian A. Constantin;1;Atomic and Molecular Clusters
V. Krasnoholovets;1;General Physics
S. Skliarenko;1;General Physics
O. Strokach;1;General Physics
S. Gonzalez Sanchez;1;Popular Physics
I. Caballero;1;Popular Physics
Nathan Belcher;2;No primary subject
Eugeniy E. Mikhailov;2;No primary subject
S.Jaeger;1;Plasma Physics
Th. Pierre;1;Plasma Physics
M.Mathes;1;Instrumentation and Detectors
M.Cristinziani;1;Instrumentation and Detectors
H.Kagan;1;Instrumentation and Detectors
S.Smith;1;Instrumentation and Detectors
W.Trischuk;1;Instrumentation and Detectors
J.Velthuis;1;Instrumentation and Detectors
K. Y. Bliokh;2;Optics
Tatyana Fadeyeva;2;Optics
Alexander Rubass;1;Optics
Bogdan Sokolenko;1;Optics
Franz X. Bronold;3;Plasma Physics
Dominik C. Hezel;1;Space Physics
Sara S. Russell;1;Space Physics
Aidan J. Ross;1;Space Physics
Anton T. Kearsley;1;Space Physics
for DAFNE Collaboration Team;1;Accelerator Physics
K. Jensen;2;Atomic Physics
Wouter Hulsbergen;1;Instrumentation and Detectors
William H. Calvin;1;Atmospheric and Oceanic Physics
Wojciech Nasalski;1;Optics
Lotte Holmegaard;3;Chemical Physics
Jens H. Nielsen;3;Chemical Physics
Iftach Nevo;3;Chemical Physics
G. L. Yudin;1;Atomic Physics
D. I. Bondar;1;Atomic Physics
S. Patchkovskii;1;Atomic Physics
P. B. Corkum;1;Atomic Physics
A. D. Bandrauk;1;Atomic Physics
Valerica Raicu;1;Biological Physics
Michael R. Stoneman;1;Biological Physics
Mike Melnichuk;1;Biological Physics
David B. Jansma;1;Biological Physics
Luca Pisterzi;1;Biological Physics
Michael Fox;1;Biological Physics
James W. Wells;1;Biological Physics
Eric Chaumillon;1;Geophysics
Jean-Noël Proust;1;Geophysics
David Ménier;1;Geophysics
Nicolas Weber;1;Geophysics
H. P. Heiskanen;1;Atomic and Molecular Clusters
V. Schwämmle;2;Physics and Society
Silvio M. D. Queirós;1;Physics and Society
E. Brigatti;2;Physics and Society
T. Tchumatchenko;1;Physics and Society
V.I.Volchenko;2;Instrumentation and Detectors
G.V.Volchenko;2;Instrumentation and Detectors
E.V.Akhrameev;2;Instrumentation and Detectors
I.M.Dzaparova;1;Instrumentation and Detectors
I.Sh.Davitashvili;2;Instrumentation and Detectors
T.Enqvist;2;Instrumentation and Detectors
H.Fynbo;2;Instrumentation and Detectors
Zh.Sh.Guliev;2;Instrumentation and Detectors
L.V.Inzhechik;2;Instrumentation and Detectors
A.O.Izmaylov;2;Instrumentation and Detectors
J.Joutsenvaara;2;Instrumentation and Detectors
M.M.Khabibullin;2;Instrumentation and Detectors
A.N.Khotjantsev;2;Instrumentation and Detectors
Yu.G.Kudenko;2;Instrumentation and Detectors
P.Kuusiniemi;2;Instrumentation and Detectors
O.V.Mineev;2;Instrumentation and Detectors
V.B.Petkov;2;Instrumentation and Detectors
R.V.Poleshuk;2;Instrumentation and Detectors
B.A.M.Shaibonov;2;Instrumentation and Detectors
J.Sarkamo;2;Instrumentation and Detectors
A.T.Shaykhiev;1;Instrumentation and Detectors
W.Trzaska;2;Instrumentation and Detectors
A.F.Yanin;2;Instrumentation and Detectors
N.V.Yershov;2;Instrumentation and Detectors
J. S. Parker;1;Atomic Physics
K. T. Taylor;1;Atomic Physics
S. F. Martins;3;Plasma Physics
J. W. Tonge;1;Plasma Physics
A. V. Boţan;1;Plasma Physics
Jiwen Zhu;1;Optics
Tong Hao;1;Optics
Christopher J. Stevens;1;Optics
David J. Edwards;1;Optics
T. Hao;1;Optics
D.J. Edwards;1;Optics
C.J. Stevens;1;Optics
T. H. Dinh;3;Atomic Physics
A. Atena;1;Fluid Dynamics
Yura Kozlovskii;1;Popular Physics
Matthew O. Jackson;2;Physics and Society
Thomas Olsen;3;Chemical Physics
Jeppe Gavnholt;1;Chemical Physics
Jakob Schiøtz;2;Chemical Physics
Naceur-Eddine Khélifa;1;Instrumentation and Detectors
O.A. Egorov;1;Optics
S. Marcello;1;Instrumentation and Detectors
Q. Song;1;Optics
S. T. Ho;2;Optics
W. Salah;1;Accelerator Physics
S. Eckel;2;Atomic Physics
V. Khan;2;Accelerator Physics
I. Shinton;2;Accelerator Physics
C. Glasman;1;Accelerator Physics
J. Lopez;2;Instrumentation and Detectors
G.Sciolla;1;Instrumentation and Detectors
K. Otis;1;Instrumentation and Detectors
Mihailo R. Jovanović;2;Fluid Dynamics
Wenlei Xie;1;Physics and Society
Yuan Lin;4;No primary subject
Yao-Hui Yang;1;Physics and Society
Goulven Quéméner;3;Chemical Physics
Naduvalath Balakrishnan;3;Chemical Physics
Brian K. Kendrick;2;No primary subject
Alberto Belloni;1;Instrumentation and Detectors
Joël Gilbert;1;Classical Physics
P. K. Ambattu;2;Accelerator Physics
G. Burt;4;Accelerator Physics
R. G. Carter;2;Accelerator Physics
A. C. Dexter;2;Accelerator Physics
P. McIntosh;2;Accelerator Physics
P. Ambattu;1;Accelerator Physics
R. Carter;1;Accelerator Physics
A. Dexter;1;Accelerator Physics
I. Tahir;1;Accelerator Physics
M. Dykes;1;Accelerator Physics
P. Goudket;1;Accelerator Physics
L. Ma;1;Accelerator Physics
D. Shulte;1;Accelerator Physics
L. Bellantoni;1;Accelerator Physics
B. Chase;1;Accelerator Physics
M. Church;1;Accelerator Physics
T. Khabouline;1;Accelerator Physics
A. Latina;2;Accelerator Physics
A. Seryei;1;Accelerator Physics
L. Xiao;1;Accelerator Physics
Igor M. Pavlichenkov;1;Atomic Physics
J.-F. Arguin;1;Instrumentation and Detectors
Alexander Glushko;1;Optics
Lyudmila Karachevtseva;1;Optics
M.L. Gallin-Martel;1;Medical Physics
Y. Grondin;1;Medical Physics
O. Rossetto;1;Medical Physics
D. Grondin;1;Medical Physics
Ph. Martin;1;Medical Physics
William C. McCorkle;1;Classical Physics
Adriano Barra;4;Physics and Society
Henk W.Ch. Postma;1;Biological Physics
S Keller;1;Atomic Physics
A Marotta;1;Atomic Physics
Z Papp;1;Atomic Physics
Gang Wang;1;Optics
Ji Ping Huang;1;Optics
Kin Wah Yu;1;Optics
F. Briolle;1;Plasma Physics
