Id	name	popularity	modularity_class	rol	betweenesscentrality
1CPCudqABxMYzF2PFEfQme	Media Naranja	35	1	role_3	152940144
6jCZSq4NyG2Ry0LyKHqClp	Paloma del Cerro	35	1	role_0	9205028883
3IbAQiPGvV3aSwvYBMo3o3	Mensajeros del Amor	35	1	role_1	31594919091
66X3l109SsMthurq0pHk3g	Urbanse	35	7	role_2	6271097
1g31gW7m6FH9LljAfobGh8	Marcos Castelló Kaniche	35	1	role_2	121670045
6pU1pqpZXzQZIQizJpYv95	Luxian	35	0	role_1	6889506318
65PHKFCs7HHGUXdOlqHwvK	Guanabanas	35	5	role_2	9230009413
2z1ZZSBRCNYjOZmUcA3rSQ	Shad Da God	35	8	role_5	157466781
5wHxSZdr7rIyqlFJxH1gCM	Miguel Bastida	35	9	role_4	134303087
7B4W35mskl1bpKV8l9WezH	Horacio Banegas	35	1	role_2	987118134
5QlBlgZQXTj4adeTRqPywe	Los Bonys	35	1	role_0	564727287
1KFfk3NtblIJtGEqyiR31t	Luuk Van Dijk	35	9	role_3	696979516
3UL33qnDTDglkZqiKFGIyR	Los Hitmen	35	5	role_3	52797103
0HhAQGZNZAvnu9RZQOTetx	Diego Olmos	35	1	role_1	5600752444
